,Model,Brand,Fuel_type,Running_in_kms,Engine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Car_Price,Location,Car_age
3418,Baleno,Maruti,Petrol,23484,1197,Manual,21.4,5,Silver,83.1,Disc,Drum,1510,1745,3995,1340,180,636000,Delhi_NCR,3
3419,Amaze,Honda,Petrol,65080,1198,Manual,17.8,5,Brown,86.7,Disc,Drum,1505,1680,3990,,140,405000,Delhi_NCR,4
3420,City,Honda,Diesel,122992,1498,Manual,26,5,Silver,98.6,Disc,Drum,1495,1695,4440,,175,460000,Delhi_NCR,6
3421,Venue,Hyundai,Petrol,11501,998,Manual,18,5,White,118.3,Disc,Drum,1605,1770,3995,,,1074000,Delhi_NCR,0
3422,Swift,Maruti,Diesel,69233,1248,Manual,28.4,5,Other,74,Disc,Drum,1530,1735,3840,1405,,570000,Delhi_NCR,3
3423,Baleno,Maruti,Petrol,96850,1197,Manual,21.4,5,Other,83.1,Disc,Drum,1510,1745,3995,1340,180,560000,Delhi_NCR,3
3424,City,Honda,Petrol,98390,1498,Manual,17.8,5,Grey,119.3,Ventilated Disc,Drum,1489,1748,4549,1482,,584000,Delhi_NCR,7
3425,Wagon R,Maruti,Petrol,64651,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,300000,Delhi_NCR,7
3426,Ritz,Maruti,Diesel,77716,1248,Manual,23.2,5,Other,73.97,Ventilated Disc,Drum,1620,1680,3775,1520,163,290000,Delhi_NCR,7
3427,Verna,Hyundai,Petrol,60820,1591,Manual,17.01,5,Other,121.3,Disc,Drum,1475,1700,4375,,196,637000,Delhi_NCR,5
3428,Grand i10,Hyundai,Petrol,69666,1197,Manual,18.9,5,Grey,81.86,Disc,Drum,1520,1660,3765,,165,482000,Delhi_NCR,3
3429,Ciaz,Maruti,Diesel,136776,1248,Manual,28.09,5,Other,88.5,Ventilated Disc,Drum,1485,1730,4490,1595,190,521000,Delhi_NCR,5
3430,Ecosport,Ford,Diesel,22951,1498,Manual,21.7,5,Silver,98.96,Ventilated Disc,Drum,1647,1765,3998,1690,,756000,Delhi_NCR,4
3431,Verna,Hyundai,Diesel,75216,1582,Manual,22.32,5,Silver,126.3,Disc,Disc,1475,1700,4370,,190,410000,Delhi_NCR,8
3432,Alto 800,Maruti,Petrol,28874,796,Manual,22.74,5,Other,47.3,Disc,Drum,1475,1490,3395,1185,140,245000,Delhi_NCR,6
3433,i20,Hyundai,Diesel,117327,1396,Manual,22.54,5,Other,88.73,Disc,Drum,1505,1734,3985,,180,460000,Delhi_NCR,6
3434,Swift Dzire,Maruti,Diesel,64352,1248,Automatic,26.59,5,Blue,74,Ventilated Disc,Drum,1555,1695,3995,1505,169,500000,Delhi_NCR,6
3435,City,Honda,Diesel,92478,1498,Manual,26,5,Other,98.6,Disc,Drum,1495,1695,4440,,190,524000,Delhi_NCR,7
3436,Swift,Maruti,Diesel,89318,1248,Manual,25.2,5,Other,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,430000,Delhi_NCR,6
3437,City,Honda,Petrol,64390,1497,Manual,16.8,5,Other,116.4,Disc,Drum,1485,1695,4440,,,565000,Delhi_NCR,6
3438,Duster,Renault,Diesel,65675,1461,Manual,20.45,5,Other,83.8,Ventilated Disc,Drum,1695,1822,4315,1758,,332000,Delhi_NCR,7
3439,City,Honda,Diesel,38708,1498,Manual,25.1,5,Other,98.6,Disc,Drum,1495,1695,4440,,190,636000,Delhi_NCR,6
3440,Celerio,Maruti,Petrol,57967,998,Manual,23.1,5,White,67.04,Ventilated Disc,Drum,1560,1600,3600,1250,150,335000,Delhi_NCR,5
3441,Tigor,Tata,Petrol,67371,1199,Manual,20.3,5,White,84,Disc,Drum,1537,1677,3992,,,415000,Delhi_NCR,3
3442,EON,Hyundai,Petrol,46967,814,Manual,21.1,5,Other,55.2,Disc,Drum,1500,1550,3495,,135,240000,Delhi_NCR,6
3443,Alto 800,Maruti,Petrol,43182,796,Manual,22.74,5,White,47.3,Disc,Drum,1475,1490,3395,1185,140,260000,Delhi_NCR,5
3444,Verna,Hyundai,Diesel,57629,1582,Manual,23.9,5,White,126.2,Disc,Drum,1475,1700,4375,,190,540000,Delhi_NCR,6
3445,i20,Hyundai,Diesel,64390,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,480000,Delhi_NCR,5
3446,Xcent,Hyundai,Petrol,34074,1197,Manual,20.14,5,Grey,81.86,Disc,Drum,1520,1660,3995,,172,480000,Delhi_NCR,3
3447,Mobilio,Honda,Petrol,109133,1497,Manual,17.3,7,Red,117.3,Disc,Drum,1603,1683,4386,,160,470000,Delhi_NCR,7
